,CÓDIGO,REGIÃO,SEXO,PAGAMENTO,TOTAL (R$)
53,4982,CENTRO-OESTE,MASCULINO,CRÉDITO,273.98
54,9643,SULDESTE,FEMININO,CRÉDITO,4124.12
55,9718,SULDESTE,FEMININO,CRÉDITO,1992.02
56,8545,SULDESTE,MASCULINO,CRÉDITO,1618.13
57,6168,SULDESTE,MASCULINO,DÉBITO,7938.21
58,1027,SULDESTE,MASCULINO,CRÉDITO,2493.63
59,3562,SULDESTE,MASCULINO,CRÉDITO,9252.49
60,7709,SULDESTE,MASCULINO,CRÉDITO,6453.9800000000005
61,8007,SULDESTE,MASCULINO,DÉBITO,6200.6
62,8265,SUL,MASCULINO,CRÉDITO,8522.22
63,4062,SULDESTE,FEMININO,CRÉDITO,851.8100000000001
64,5746,SULDESTE,MASCULINO,DÉBITO,9172.15
65,3294,SULDESTE,MASCULINO,CRÉDITO,481.01
66,6894,SULDESTE,FEMININO,DÉBITO,9500.72
67,3698,SULDESTE,FEMININO,DÉBITO,8972.33
68,7018,SULDESTE,MASCULINO,CRÉDITO,4398.1
69,5736,SULDESTE,FEMININO,CRÉDITO,5912.2
70,8152,SULDESTE,MASCULINO,CRÉDITO,8544.880000000001
71,2372,SULDESTE,MASCULINO,CRÉDITO,6787.7
72,7500,NORTE,MASCULINO,CRÉDITO,8680.84
73,8008,SULDESTE,FEMININO,CRÉDITO,8173.05
74,9182,SULDESTE,MASCULINO,CRÉDITO,3362.9500000000003
75,8211,SULDESTE,FEMININO,DÉBITO,6328.32
76,9914,SULDESTE,MASCULINO,CRÉDITO,1022.7900000000001
77,3504,SUL,FEMININO,DÉBITO,7031.81
78,9301,SULDESTE,MASCULINO,DÉBITO,6289.18
79,1897,SULDESTE,MASCULINO,CRÉDITO,6586.85
80,1199,SULDESTE,MASCULINO,CRÉDITO,872.41
81,1180,SUL,MASCULINO,DÉBITO,7727.06
82,6742,SUL,FEMININO,CRÉDITO,9895.210000000001
83,8963,SUL,MASCULINO,DÉBITO,1960.0900000000001
84,9551,SULDESTE,MASCULINO,CRÉDITO,5934.860000000001
85,5517,SULDESTE,FEMININO,CRÉDITO,2398.87
86,2232,SULDESTE,FEMININO,DÉBITO,7046.2300000000005
87,3425,SULDESTE,MASCULINO,CRÉDITO,3418.57
88,7881,SULDESTE,FEMININO,CRÉDITO,1219.52
89,2419,NORDESTE,MASCULINO,DÉBITO,7934.09
90,8304,SULDESTE,MASCULINO,CRÉDITO,2035.28
91,7189,SULDESTE,FEMININO,CRÉDITO,125.66
92,7901,SULDESTE,FEMININO,CRÉDITO,4809.07
93,9721,SULDESTE,FEMININO,DÉBITO,8765.300000000001
94,7234,SULDESTE,MASCULINO,DÉBITO,7693.070000000001
95,5785,SULDESTE,FEMININO,CRÉDITO,4419.7300000000005
96,9759,SULDESTE,MASCULINO,CRÉDITO,7364.5
97,7738,SUL,FEMININO,CRÉDITO,6412.78
98,5617,SULDESTE,MASCULINO,DÉBITO,3519.51
99,5273,SULDESTE,MASCULINO,CRÉDITO,7653.93
100,3563,SULDESTE,MASCULINO,DÉBITO,8448.06
101,7537,SULDESTE,MASCULINO,CRÉDITO,9037.22
102,9279,SULDESTE,MASCULINO,CRÉDITO,3274.37
103,5272,CENTRO-OESTE,MASCULINO,CRÉDITO,10024.99
104,2103,SULDESTE,FEMININO,DÉBITO,7285.1900000000005
105,1633,SUL,MASCULINO,DÉBITO,2713.02
106,1178,SUL,FEMININO,CRÉDITO,8038.12
107,4503,SULDESTE,MASCULINO,DÉBITO,3550.4100000000003
108,2266,SUL,MASCULINO,CRÉDITO,2542.04
109,7072,SUL,FEMININO,CRÉDITO,6823.75
110,9501,SULDESTE,MASCULINO,CRÉDITO,4686.5
111,9545,SULDESTE,MASCULINO,DÉBITO,9939.5
112,5603,SULDESTE,MASCULINO,CRÉDITO,1614.01
113,9909,SULDESTE,FEMININO,CRÉDITO,1458.48
114,3374,SULDESTE,MASCULINO,CRÉDITO,9189.66
115,6758,SULDESTE,MASCULINO,CRÉDITO,3455.65
116,7069,SULDESTE,MASCULINO,CRÉDITO,8946.58
117,3205,SULDESTE,MASCULINO,CRÉDITO,4460.93
118,8076,SULDESTE,MASCULINO,DÉBITO,9511.02
119,3869,SULDESTE,FEMININO,DÉBITO,6265.49
120,6496,SUL,MASCULINO,CRÉDITO,2837.65
121,7010,SULDESTE,FEMININO,CRÉDITO,910.52
122,7125,NORDESTE,MASCULINO,CRÉDITO,7525.18
123,9585,NORDESTE,FEMININO,DÉBITO,937.3000000000001
124,6907,SULDESTE,FEMININO,CRÉDITO,4815.25
125,7173,SUL,MASCULINO,CRÉDITO,2263.94
126,9636,SULDESTE,MASCULINO,DÉBITO,6656.89
127,7176,SULDESTE,MASCULINO,DÉBITO,9099.02
128,6992,SUL,MASCULINO,DÉBITO,8113.31
129,7599,NORDESTE,FEMININO,CRÉDITO,3082.79
130,1540,SULDESTE,MASCULINO,CRÉDITO,5357.03
131,9798,SULDESTE,MASCULINO,CRÉDITO,2446.25
132,5449,SULDESTE,MASCULINO,DÉBITO,222.48000000000002
133,2292,SULDESTE,MASCULINO,CRÉDITO,3144.59
134,6468,SUL,MASCULINO,DÉBITO,5040.82
135,2197,SULDESTE,MASCULINO,CRÉDITO,7543.72
136,8332,SUL,MASCULINO,CRÉDITO,8727.19
137,8539,SUL,MASCULINO,DÉBITO,5079.96
138,5933,SUL,MASCULINO,CRÉDITO,10073.4
139,7001,SULDESTE,MASCULINO,DÉBITO,6911.3
140,4603,SULDESTE,MASCULINO,DÉBITO,8862.12
141,4525,SULDESTE,MASCULINO,DÉBITO,7257.38
142,7468,SULDESTE,MASCULINO,CRÉDITO,7179.1
143,7384,SUL,MASCULINO,CRÉDITO,442.90000000000003
144,8140,SUL,MASCULINO,DÉBITO,9707.75
145,3883,SULDESTE,MASCULINO,CRÉDITO,6577.58
146,2463,SULDESTE,MASCULINO,CRÉDITO,8182.320000000001
147,3666,NORTE,FEMININO,DÉBITO,5374.54
148,7127,SULDESTE,FEMININO,CRÉDITO,7823.88
149,5452,SULDESTE,FEMININO,CRÉDITO,569.59
150,2916,SUL,MASCULINO,CRÉDITO,6077.0
151,5389,SUL,MASCULINO,CRÉDITO,4525.82
152,7642,SULDESTE,MASCULINO,DÉBITO,881.6800000000001
153,4232,SUL,MASCULINO,CRÉDITO,10192.880000000001
154,3525,SUL,MASCULINO,DÉBITO,1015.58
155,5092,NORTE,MASCULINO,CRÉDITO,3514.36
156,8093,SULDESTE,MASCULINO,CRÉDITO,1311.19
157,4497,NORTE,MASCULINO,CRÉDITO,8209.1
158,2122,SULDESTE,FEMININO,CRÉDITO,2781.0
159,4738,SULDESTE,MASCULINO,CRÉDITO,605.64
160,3965,SULDESTE,MASCULINO,DÉBITO,5304.5
161,5510,SULDESTE,MASCULINO,DÉBITO,8073.14
162,8716,SULDESTE,MASCULINO,CRÉDITO,5416.77
163,1471,SULDESTE,MASCULINO,CRÉDITO,2549.25
164,1384,SULDESTE,MASCULINO,DÉBITO,5638.22
165,3710,SUL,MASCULINO,CRÉDITO,9674.79
166,2674,SULDESTE,MASCULINO,CRÉDITO,4411.49
167,7388,SULDESTE,MASCULINO,CRÉDITO,9033.1
168,7965,SUL,FEMININO,CRÉDITO,9194.81
169,9787,SULDESTE,MASCULINO,DÉBITO,5347.76
170,8369,SUL,MASCULINO,CRÉDITO,5132.49
171,5896,SULDESTE,MASCULINO,CRÉDITO,987.77
172,1428,SULDESTE,FEMININO,CRÉDITO,1419.3400000000001
173,6550,SUL,MASCULINO,CRÉDITO,9560.460000000001
174,3383,SUL,MASCULINO,CRÉDITO,2468.91
175,2163,NORDESTE,MASCULINO,CRÉDITO,974.38
176,9936,SUL,FEMININO,CRÉDITO,2084.7200000000003
177,7198,SULDESTE,FEMININO,CRÉDITO,7779.59
178,2662,SULDESTE,MASCULINO,CRÉDITO,2754.2200000000003
179,2764,SULDESTE,MASCULINO,CRÉDITO,1542.94
180,5216,SULDESTE,MASCULINO,CRÉDITO,7977.35
181,7199,NORDESTE,MASCULINO,DÉBITO,2865.46
182,1536,SULDESTE,FEMININO,CRÉDITO,6870.1
183,2009,SULDESTE,FEMININO,CRÉDITO,4573.2
184,1272,SULDESTE,MASCULINO,CRÉDITO,7468.53
185,9190,SULDESTE,MASCULINO,CRÉDITO,5700.02
186,9538,SUL,FEMININO,CRÉDITO,5490.93
187,1525,SULDESTE,MASCULINO,DÉBITO,3581.31
188,3894,SUL,MASCULINO,DÉBITO,1323.55
189,5206,SUL,MASCULINO,DÉBITO,4144.72
190,3671,SUL,FEMININO,DÉBITO,9529.56
191,4077,SULDESTE,MASCULINO,CRÉDITO,5213.860000000001
192,7395,SULDESTE,MASCULINO,CRÉDITO,372.86
193,9368,SULDESTE,MASCULINO,CRÉDITO,7536.51
194,1695,SULDESTE,FEMININO,DÉBITO,9674.79
195,8774,SULDESTE,MASCULINO,CRÉDITO,7179.1
196,7039,SULDESTE,FEMININO,DÉBITO,6885.55
197,5714,SUL,MASCULINO,CRÉDITO,1421.4
198,2825,SUL,FEMININO,CRÉDITO,5105.71
199,5427,SULDESTE,FEMININO,CRÉDITO,8739.550000000001
200,2734,SULDESTE,MASCULINO,DÉBITO,7452.05
201,9958,SUL,FEMININO,CRÉDITO,9101.08
202,4103,SULDESTE,MASCULINO,CRÉDITO,7022.54
203,9287,SUL,MASCULINO,DÉBITO,4175.62
204,5658,SULDESTE,FEMININO,DÉBITO,3927.3900000000003
205,4132,SULDESTE,MASCULINO,CRÉDITO,1317.3700000000001
206,1996,SUL,MASCULINO,CRÉDITO,7017.39
207,3616,SULDESTE,MASCULINO,CRÉDITO,1382.26
208,2926,SUL,MASCULINO,DÉBITO,7135.84
209,4763,SUL,MASCULINO,DÉBITO,5538.31
210,6730,SULDESTE,FEMININO,CRÉDITO,6325.2300000000005
211,6082,SULDESTE,MASCULINO,DÉBITO,9379.18
212,9825,SULDESTE,FEMININO,CRÉDITO,6589.9400000000005
213,9949,SULDESTE,MASCULINO,CRÉDITO,9708.78
214,1499,CENTRO-OESTE,MASCULINO,CRÉDITO,299.73
215,2222,SULDESTE,MASCULINO,CRÉDITO,7226.4800000000005
216,1970,SULDESTE,MASCULINO,CRÉDITO,4941.9400000000005
217,6963,SULDESTE,MASCULINO,DÉBITO,8246.18
218,6828,SULDESTE,MASCULINO,CRÉDITO,7137.900000000001
219,2513,SULDESTE,MASCULINO,CRÉDITO,122.57000000000001
220,4802,SUL,MASCULINO,CRÉDITO,4470.2
221,1107,SULDESTE,MASCULINO,CRÉDITO,2963.31
222,3065,SULDESTE,FEMININO,CRÉDITO,8781.78
223,7045,SULDESTE,FEMININO,CRÉDITO,4434.150000000001
224,8591,SULDESTE,FEMININO,CRÉDITO,3840.87
225,4743,SUL,FEMININO,DÉBITO,6997.820000000001
226,2898,SULDESTE,MASCULINO,DÉBITO,6844.35
227,3271,SUL,MASCULINO,CRÉDITO,3617.36
228,2937,SULDESTE,MASCULINO,CRÉDITO,7676.59
229,2412,SULDESTE,FEMININO,CRÉDITO,9017.65
230,4731,NORTE,FEMININO,CRÉDITO,9850.92
231,2726,SULDESTE,MASCULINO,DÉBITO,9978.64
232,5690,SULDESTE,MASCULINO,CRÉDITO,5035.67
233,9822,SUL,MASCULINO,DÉBITO,3123.9900000000002
234,1631,SULDESTE,MASCULINO,CRÉDITO,8794.14
235,9568,SULDESTE,FEMININO,DÉBITO,9751.01
236,5435,SULDESTE,MASCULINO,CRÉDITO,70.04
237,8778,SULDESTE,MASCULINO,CRÉDITO,1718.04
238,4562,SULDESTE,MASCULINO,CRÉDITO,7554.02
239,1098,SULDESTE,MASCULINO,CRÉDITO,7501.49
240,8785,SUL,FEMININO,DÉBITO,2086.78
241,3974,NORTE,MASCULINO,CRÉDITO,557.23
242,4589,SULDESTE,MASCULINO,CRÉDITO,10092.970000000001
243,7373,SULDESTE,FEMININO,DÉBITO,4023.1800000000003
244,6425,SULDESTE,MASCULINO,DÉBITO,3665.77
245,3085,SULDESTE,FEMININO,CRÉDITO,3350.59
246,9600,SULDESTE,FEMININO,CRÉDITO,8961.0
247,2665,SULDESTE,FEMININO,DÉBITO,6799.03
248,1577,SULDESTE,MASCULINO,CRÉDITO,10151.68
249,8333,SULDESTE,MASCULINO,DÉBITO,4177.68
250,7191,SULDESTE,MASCULINO,DÉBITO,9055.76
251,1745,SULDESTE,MASCULINO,CRÉDITO,1794.26
252,3716,SULDESTE,MASCULINO,CRÉDITO,8782.81
253,3761,NORTE,MASCULINO,CRÉDITO,2799.54
254,5186,SULDESTE,FEMININO,CRÉDITO,7704.400000000001
255,8843,SULDESTE,FEMININO,DÉBITO,1762.3300000000002
256,8990,SULDESTE,MASCULINO,CRÉDITO,5365.27
257,3180,SUL,MASCULINO,DÉBITO,4494.92
258,4824,SULDESTE,MASCULINO,CRÉDITO,1345.18
259,6609,SULDESTE,MASCULINO,CRÉDITO,2202.14
260,4883,SULDESTE,MASCULINO,CRÉDITO,8421.28
261,8511,SULDESTE,MASCULINO,CRÉDITO,9519.26
262,9264,SUL,MASCULINO,CRÉDITO,9993.06
263,5768,SULDESTE,MASCULINO,DÉBITO,4834.82
264,7815,SUL,MASCULINO,DÉBITO,8464.54
265,8860,CENTRO-OESTE,FEMININO,CRÉDITO,6329.35
266,4889,SULDESTE,MASCULINO,CRÉDITO,5376.6
267,1857,SULDESTE,FEMININO,CRÉDITO,10285.58
268,6237,SULDESTE,FEMININO,CRÉDITO,8751.91
269,4684,SULDESTE,MASCULINO,CRÉDITO,9939.5
270,5156,SULDESTE,FEMININO,DÉBITO,10084.73
271,3553,NORDESTE,FEMININO,CRÉDITO,9928.17
272,6664,CENTRO-OESTE,MASCULINO,CRÉDITO,3332.05
273,9646,NORDESTE,MASCULINO,CRÉDITO,8382.14
274,6634,SUL,MASCULINO,CRÉDITO,2500.84
275,6746,SULDESTE,FEMININO,DÉBITO,3063.2200000000003
276,3093,SULDESTE,MASCULINO,CRÉDITO,1139.18
277,5571,SULDESTE,MASCULINO,DÉBITO,8153.4800000000005
278,4709,SULDESTE,FEMININO,CRÉDITO,9925.08
279,7225,SULDESTE,MASCULINO,DÉBITO,8074.17
280,1616,SULDESTE,MASCULINO,CRÉDITO,5376.6
281,8578,SUL,MASCULINO,CRÉDITO,3712.12
282,8574,SUL,MASCULINO,CRÉDITO,8203.95
283,8232,SULDESTE,MASCULINO,DÉBITO,4562.900000000001
284,8032,SULDESTE,MASCULINO,DÉBITO,3706.9700000000003
285,9846,SULDESTE,MASCULINO,DÉBITO,7163.650000000001
286,3365,SUL,MASCULINO,CRÉDITO,1851.94
287,1247,SULDESTE,MASCULINO,CRÉDITO,917.73
288,6066,SULDESTE,MASCULINO,DÉBITO,1705.68
289,7188,SULDESTE,MASCULINO,CRÉDITO,5879.24
290,8915,SULDESTE,MASCULINO,CRÉDITO,9755.130000000001
291,5919,SULDESTE,MASCULINO,CRÉDITO,10046.62
292,1225,SULDESTE,MASCULINO,DÉBITO,2803.66
293,6346,SULDESTE,MASCULINO,CRÉDITO,2302.05
294,2448,SULDESTE,MASCULINO,CRÉDITO,5726.8
295,4664,SULDESTE,MASCULINO,CRÉDITO,4525.82
296,9890,SULDESTE,MASCULINO,CRÉDITO,3334.11
297,3732,SULDESTE,FEMININO,CRÉDITO,3167.25
298,2013,SULDESTE,MASCULINO,CRÉDITO,4931.64
299,8282,SUL,MASCULINO,CRÉDITO,4502.13
300,9989,SULDESTE,MASCULINO,CRÉDITO,340.93
301,5860,SULDESTE,MASCULINO,CRÉDITO,9137.130000000001
302,5147,SULDESTE,MASCULINO,DÉBITO,7916.58
303,5993,SULDESTE,MASCULINO,DÉBITO,4338.36
304,9653,SULDESTE,MASCULINO,CRÉDITO,8756.03
305,9915,SULDESTE,MASCULINO,CRÉDITO,256.47
306,1817,SULDESTE,MASCULINO,CRÉDITO,4502.13
307,2366,NORTE,MASCULINO,CRÉDITO,568.5600000000001
308,3842,SULDESTE,MASCULINO,CRÉDITO,7695.13
309,3715,SUL,MASCULINO,CRÉDITO,8471.75
310,9285,SULDESTE,MASCULINO,CRÉDITO,8206.01
311,4903,SULDESTE,FEMININO,DÉBITO,5852.46
312,6765,SULDESTE,MASCULINO,CRÉDITO,140.08
313,9206,CENTRO-OESTE,MASCULINO,CRÉDITO,4950.18
314,2741,SUL,MASCULINO,DÉBITO,3724.48
315,6973,SUL,FEMININO,CRÉDITO,8241.03
316,9660,SULDESTE,MASCULINO,CRÉDITO,9994.09
317,7921,SULDESTE,MASCULINO,CRÉDITO,10176.4
318,5589,SUL,MASCULINO,CRÉDITO,4977.99
319,8600,NORTE,MASCULINO,CRÉDITO,8652.0
320,6481,CENTRO-OESTE,MASCULINO,CRÉDITO,1320.46
321,8704,SULDESTE,MASCULINO,CRÉDITO,8467.630000000001
322,7402,SULDESTE,MASCULINO,DÉBITO,66.95
323,7601,SULDESTE,FEMININO,CRÉDITO,1358.57
324,1370,SULDESTE,MASCULINO,CRÉDITO,9779.85
325,5239,SULDESTE,MASCULINO,CRÉDITO,3518.48
326,4521,SUL,MASCULINO,CRÉDITO,7420.12
327,9873,SUL,MASCULINO,CRÉDITO,9301.93
328,9274,SUL,MASCULINO,CRÉDITO,2957.13
329,2021,SULDESTE,MASCULINO,CRÉDITO,8272.960000000001
330,9294,SULDESTE,MASCULINO,CRÉDITO,3610.15
331,5901,SULDESTE,MASCULINO,CRÉDITO,3174.46
332,3324,SULDESTE,FEMININO,CRÉDITO,2976.7000000000003
333,7111,SULDESTE,MASCULINO,DÉBITO,7025.63
334,7862,SULDESTE,MASCULINO,CRÉDITO,9470.85
335,3074,SULDESTE,MASCULINO,CRÉDITO,852.84
336,7627,SULDESTE,MASCULINO,DÉBITO,9831.35
337,9165,SULDESTE,FEMININO,CRÉDITO,2770.7000000000003
338,6509,SULDESTE,MASCULINO,CRÉDITO,2850.01
339,7540,SULDESTE,FEMININO,DÉBITO,1209.22
340,4733,SULDESTE,MASCULINO,CRÉDITO,4833.79
341,7967,SULDESTE,FEMININO,CRÉDITO,8908.47
342,7706,NORTE,MASCULINO,CRÉDITO,6473.55
343,1049,SULDESTE,MASCULINO,DÉBITO,9306.050000000001
344,7647,SULDESTE,MASCULINO,DÉBITO,7758.99
345,9828,SULDESTE,MASCULINO,CRÉDITO,6941.17
346,4933,SULDESTE,MASCULINO,DÉBITO,3486.55
347,4031,SULDESTE,FEMININO,CRÉDITO,7476.77
348,2555,SULDESTE,MASCULINO,CRÉDITO,355.35
349,1607,SULDESTE,FEMININO,CRÉDITO,6196.4800000000005
350,1526,SULDESTE,MASCULINO,DÉBITO,5875.12
351,2270,SULDESTE,FEMININO,DÉBITO,4297.16
352,1351,SUL,MASCULINO,CRÉDITO,2937.56
353,4304,SUL,MASCULINO,DÉBITO,6033.74
354,9311,SULDESTE,MASCULINO,CRÉDITO,3930.48
355,9034,SULDESTE,MASCULINO,DÉBITO,6310.81
356,4431,SULDESTE,MASCULINO,CRÉDITO,5793.75
357,6092,SULDESTE,MASCULINO,CRÉDITO,8898.17
358,7095,CENTRO-OESTE,FEMININO,DÉBITO,914.64
359,5425,SULDESTE,MASCULINO,CRÉDITO,6328.32
360,7317,SUL,MASCULINO,CRÉDITO,1818.98
361,4111,SULDESTE,MASCULINO,CRÉDITO,5934.860000000001
362,7079,SULDESTE,MASCULINO,CRÉDITO,7718.820000000001
363,4989,SULDESTE,MASCULINO,CRÉDITO,4729.76
364,9679,SUL,FEMININO,CRÉDITO,7049.320000000001
365,8190,SULDESTE,MASCULINO,CRÉDITO,1000.13
366,6474,SULDESTE,MASCULINO,CRÉDITO,9945.68
367,6405,SULDESTE,MASCULINO,CRÉDITO,4089.1
368,5500,SUL,FEMININO,CRÉDITO,9849.89
369,5583,SULDESTE,FEMININO,CRÉDITO,8860.06
370,4130,SULDESTE,MASCULINO,CRÉDITO,695.25
371,6891,SULDESTE,MASCULINO,CRÉDITO,982.62
372,9502,SULDESTE,MASCULINO,CRÉDITO,385.22
373,5610,SULDESTE,FEMININO,CRÉDITO,1537.79
374,2269,SULDESTE,MASCULINO,CRÉDITO,3172.4
375,6508,SULDESTE,FEMININO,CRÉDITO,1797.3500000000001
376,7853,NORDESTE,MASCULINO,CRÉDITO,6946.320000000001
377,2262,SULDESTE,MASCULINO,DÉBITO,4057.17
378,7205,SULDESTE,MASCULINO,CRÉDITO,4210.64
379,1202,SUL,MASCULINO,CRÉDITO,6011.08
380,6529,SULDESTE,MASCULINO,CRÉDITO,10272.19
381,3535,NORDESTE,MASCULINO,CRÉDITO,7029.75
382,3399,SUL,MASCULINO,CRÉDITO,2665.64
383,9525,NORDESTE,MASCULINO,CRÉDITO,3934.6
384,2211,SUL,MASCULINO,CRÉDITO,9018.68
385,5505,SULDESTE,FEMININO,CRÉDITO,4174.59
386,7322,SULDESTE,MASCULINO,CRÉDITO,1817.95
387,5478,SUL,MASCULINO,CRÉDITO,9223.65
388,8378,SUL,MASCULINO,CRÉDITO,8774.57
389,2170,SULDESTE,FEMININO,CRÉDITO,4335.27
390,1652,SULDESTE,MASCULINO,CRÉDITO,10138.29
391,3038,CENTRO-OESTE,MASCULINO,CRÉDITO,2613.11
392,3061,SULDESTE,FEMININO,CRÉDITO,8616.98
393,9046,SULDESTE,FEMININO,DÉBITO,2465.82
394,4179,SUL,MASCULINO,CRÉDITO,5486.81
395,9168,SULDESTE,MASCULINO,DÉBITO,5746.37
396,1830,SULDESTE,FEMININO,CRÉDITO,7016.360000000001
397,3410,SULDESTE,MASCULINO,CRÉDITO,3304.2400000000002
398,6260,SULDESTE,MASCULINO,CRÉDITO,9214.380000000001
399,8832,SULDESTE,MASCULINO,CRÉDITO,6005.93
400,7701,SULDESTE,MASCULINO,DÉBITO,571.65
401,7860,SULDESTE,MASCULINO,DÉBITO,4536.12
402,7550,SUL,MASCULINO,CRÉDITO,4212.7
403,6753,SULDESTE,MASCULINO,CRÉDITO,1845.76
404,3387,SULDESTE,MASCULINO,CRÉDITO,7721.91
405,3190,SULDESTE,MASCULINO,CRÉDITO,1862.24
406,4116,SULDESTE,MASCULINO,DÉBITO,812.6700000000001
407,1194,SULDESTE,FEMININO,CRÉDITO,681.86
408,7507,SULDESTE,MASCULINO,CRÉDITO,8176.14
409,8488,SUL,MASCULINO,CRÉDITO,7765.17
410,9537,SUL,FEMININO,CRÉDITO,3711.09
411,2379,SUL,MASCULINO,CRÉDITO,6321.110000000001
412,5013,NORTE,MASCULINO,CRÉDITO,7392.31
413,7157,SULDESTE,MASCULINO,CRÉDITO,3573.07
414,7367,SUL,MASCULINO,CRÉDITO,2194.93
415,2290,SULDESTE,MASCULINO,CRÉDITO,986.74
416,5937,SULDESTE,MASCULINO,CRÉDITO,176.13
417,9125,SULDESTE,MASCULINO,CRÉDITO,2423.59
418,6510,SULDESTE,MASCULINO,DÉBITO,9789.12
419,6209,SUL,MASCULINO,DÉBITO,1340.03
420,2882,SULDESTE,MASCULINO,CRÉDITO,1295.74
421,4156,SUL,MASCULINO,DÉBITO,2726.41
422,6255,NORTE,MASCULINO,CRÉDITO,6867.01
423,9932,SULDESTE,FEMININO,CRÉDITO,1182.44
424,6307,SULDESTE,MASCULINO,DÉBITO,8948.64
425,8958,SULDESTE,MASCULINO,CRÉDITO,2131.07
426,3373,SULDESTE,MASCULINO,CRÉDITO,1324.58
427,1360,SUL,MASCULINO,CRÉDITO,351.23
428,1779,SULDESTE,MASCULINO,CRÉDITO,8307.98
429,9669,SUL,FEMININO,CRÉDITO,7725.0
430,6875,NORTE,MASCULINO,CRÉDITO,1795.29
431,6214,SULDESTE,MASCULINO,CRÉDITO,4039.6600000000003
432,1672,SULDESTE,MASCULINO,CRÉDITO,2892.2400000000002
433,1382,SULDESTE,MASCULINO,DÉBITO,859.02
434,6994,NORDESTE,MASCULINO,DÉBITO,9605.78
435,9447,SUL,MASCULINO,CRÉDITO,6421.02
436,3317,SULDESTE,MASCULINO,CRÉDITO,9789.12
437,7278,SULDESTE,FEMININO,CRÉDITO,1546.03
438,7650,SULDESTE,MASCULINO,CRÉDITO,2881.94
439,6838,SUL,MASCULINO,DÉBITO,4889.41
440,1657,SULDESTE,FEMININO,CRÉDITO,608.73
441,3254,CENTRO-OESTE,MASCULINO,DÉBITO,7667.320000000001
442,1305,SULDESTE,MASCULINO,CRÉDITO,8874.48
